Subject Name:C:\Users\pnkid\Desktop\mousedata\Firstrun.txt
File Created: 11/30/2019 2:02:46 PM 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
0.882	Moved	1350	852
0.883	Moved	1349	852
0.884	Moved	1347	852
0.885	Moved	1345	852
0.886	Moved	1343	852
0.887	Moved	1342	852
0.888	Moved	1340	852
0.889	Moved	1339	852
0.89	Moved	1337	852
0.891	Moved	1336	852
0.892	Moved	1334	852
0.893	Moved	1333	852
0.894	Moved	1332	852
0.895	Moved	1330	852
0.896	Moved	1329	852
0.897	Moved	1328	852
0.898	Moved	1327	852
0.899	Moved	1326	852
0.9	Moved	1324	852
0.901	Moved	1323	852
0.902	Moved	1322	852
0.903	Moved	1321	852
0.904	Moved	1320	852
0.905	Moved	1319	852
0.906	Moved	1318	852
0.907	Moved	1317	852
0.908	Moved	1316	852
0.909	Moved	1315	852
0.91	Moved	1314	852
0.911	Moved	1313	852
0.912	Moved	1312	852
0.913	Moved	1311	853
0.915	Moved	1310	853
0.916	Moved	1309	853
0.918	Moved	1308	853
0.92	Moved	1307	853
0.921	Moved	1306	853
0.922	Moved	1306	854
0.924	Moved	1305	854
0.927	Moved	1304	854
0.929	Moved	1303	854
0.932	Moved	1302	855
0.935	Moved	1301	855
0.939	Moved	1300	855
0.941	Moved	1299	855
0.942	Moved	1299	856
0.945	Moved	1298	856
0.947	Moved	1297	856
0.95	Moved	1296	856
0.952	Moved	1295	856
0.953	Moved	1295	857
0.955	Moved	1294	857
0.957	Moved	1293	857
0.959	Moved	1292	857
0.961	Moved	1291	857
0.962	Moved	1290	857
0.963	Moved	1290	858
0.964	Moved	1289	858
0.966	Moved	1288	858
0.968	Moved	1287	858
0.969	Moved	1286	858
0.97	Moved	1285	858
0.972	Moved	1284	858
0.973	Moved	1283	858
0.974	Moved	1282	858
0.975	Moved	1281	858
0.977	Moved	1280	858
0.978	Moved	1279	858
0.979	Moved	1279	859
0.98	Moved	1278	859
0.981	Moved	1277	859
0.982	Moved	1276	859
0.983	Moved	1275	859
0.984	Moved	1274	859
0.986	Moved	1273	859
0.987	Moved	1272	859
0.988	Moved	1271	859
0.99	Moved	1270	859
0.991	Moved	1269	859
0.992	Moved	1268	859
0.994	Moved	1267	859
0.996	Moved	1266	859
0.996	Moved	1265	859
0.998	Moved	1264	859
0.999	Moved	1263	859
1.002	Moved	1262	859
1.003	Moved	1261	860
1.006	Moved	1260	860
1.008	Moved	1259	860
1.01	Moved	1258	860
1.012	Moved	1257	860
1.014	Moved	1256	860
1.017	Moved	1255	860
1.019	Moved	1254	860
1.023	Moved	1253	860
1.028	Moved	1252	860
1.081	Pressed Left	1251	860
1.34	Moved	1251	860
1.35	Moved	1252	860
1.356	Moved	1253	860
1.357	Moved	1254	860
1.361	Moved	1254	859
1.365	Moved	1255	859
1.368	Moved	1256	859
1.371	Moved	1257	859
1.373	Moved	1258	858
1.375	Moved	1259	858
1.377	Moved	1260	858
1.379	Moved	1261	858
1.38	Moved	1262	858
1.381	Moved	1262	857
1.383	Moved	1263	857
1.384	Moved	1264	857
1.385	Moved	1265	857
1.387	Moved	1266	857
1.388	Moved	1267	856
1.389	Moved	1268	856
1.391	Moved	1269	856
1.392	Moved	1270	856
1.393	Moved	1271	856
1.394	Moved	1272	856
1.395	Moved	1273	856
1.396	Moved	1274	855
1.397	Moved	1275	855
1.398	Moved	1276	855
1.399	Moved	1277	855
1.4	Moved	1278	855
1.401	Moved	1279	855
1.402	Moved	1280	855
1.403	Moved	1281	855
1.404	Moved	1282	855
1.405	Moved	1283	855
1.406	Moved	1284	855
1.407	Moved	1284	854
1.408	Moved	1285	854
1.409	Moved	1287	854
1.41	Moved	1288	854
1.411	Moved	1289	854
